Õ	+
#E657	PSI_LOWER
#E658	OMEGA_LOWER
#E601	A1_LOWER
#E602	A2_LOWER
#E603	A3_LOWER
#E604	A4_LOWER
#E605	A5_LOWER
#E606	A6_LOWER
#E607	AE_LOWER
#E608	CZ_LOWER
#E609	E1_LOWER
#E60A	E2_LOWER
#E60B	E3_LOWER
#E60C	E4_LOWER
#E60D	I1_LOWER
#E60E	I2_LOWER
#E60F	I3_LOWER
#E610	I4_LOWER
#E611	D_BAR_LOWER
#E612	N_WAVE_LOWER
#E613	O1_LOWER
#E614	O2_LOWER
#E615	O3_LOWER
#E616	O4_LOWER
#E617	O5_LOWER
#E618	O6_LOWER
#E619	U1_LOWER
#E61A	U2_LOWER
#E61B	U3_LOWER
#E61C	U4_LOWER
#E61D	Y1_LOWER
#E61E	BB_LOWER
#E61F	BETA2_LOWER
#E620	Y2_LOWER
#E621	A7_LOWER
#E622	A8_LOWER
#E623	C1_LOWER
#E624	C2_LOWER
#E625	OE_LOWER
#E626	D1_LOWER
#E627	E5_LOWER
#E628	E6_LOWER
#E629	L1_LOWER
#E62A	N1_LOWER
#E62B	N2_LOWER
#E62C	O7_LOWER
#E62D	R1_LOWER
#E62E	S1_LOWER
#E62F	S2_LOWER
#E630	T1_LOWER
#E631	O8_LOWER
#E632	U5_LOWER
#E633	Z1_LOWER
#E634	Z2_LOWER
#E635	Z3_LOWER
#E660	AZ_LOWER
#E661	BUKY_LOWER
#E662	VEDE_LOWER
#E663	GLAGOLI_LOWER
#E664	DOBRO_LOWER
#E665	EST_LOWER
#E666	EST2_LOWER
#E667	ZIVETE_LOWER
#E668	ZEMLA_LOWER
#E669	IZE_LOWER
#E66A	IZEI_LOWER
#E66B	KAKO_LOWER
#E66C	LUDIE_LOWER
#E66D	MYSLITE_LOWER
#E66E	NAS_LOWER
#E66F	ON_LOWER
#E670	POKOT_LOWER
#E671	RCI_LOWER
#E672	SLOVO_LOWER
#E673	TVERDO_LOWER
#E674	UK_LOWER
#E675	FRT_LOWER
#E676	HER_LOWER
#E677	OM_LOWER
#E678	CI_LOWER
#E679	CRV_LOWER
#E67A	SA_LOWER
#E67B	STA_LOWER
#E67C	ER_LOWER
#E67D	ERY_LOWER
#E67E	ERI_LOWER
#E680	KSI_LOWER
#E681	UI_LOWER
	IOUS_LOWER
	FITA_LOWER
@E682	A_CAPS
@E741	B_CAPS
@E742	C_CAPS
@E743	D_CAPS
@E744	E_CAPS
@E745	F_CAPS
@E746	G_CAPS
@E747	H_CAPS
@E748	I_CAPS
@E749	J_CAPS
@E74A	K_CAPS
@E74B	L_CAPS
@E74C	M_CAPS
@E74D	N_CAPS
@E74E	O_CAPS
@E74F	P_CAPS
@E750	Q_CAPS
@E751	R_CAPS
@E752	S_CAPS
@E753	T_CAPS
@E754	U_CAPS
@E755	V_CAPS
@E756	W_CAPS
@E757	X_CAPS
@E758	Y_CAPS
@E759	Z_CAPS
@E75A	A_LOWER
@E761	B_LOWER
@E762	C_LOWER
@E763	D_LOWER
@E764	E_LOWER
@E765	F_LOWER
@E766	G_LOWER
@E767	H_LOWER
@E768	I_LOWER
@E769	J_LOWER
@E76A	K_LOWER
@E76B	L_LOWER
@E76C	M_LOWER
@E76D	N_LOWER
@E76E	O_LOWER
@E76F	P_LOWER
@E770	Q_LOWER
@E771	R_LOWER
@E772	S_LOWER
@E773	T_LOWER
@E774	U_LOWER
@E775	V_LOWER
@E777	W_LOWER
@E778	X_LOWER
@E779	Y_LOWER
@E77A	Z_LOWER
If 	if
:Then 	then
Else If 	elsif
IfEnd 	ifend
While 	while
WhileEnd 	whileend
For 	for
To 	to
Step 	step
Do 	do
LapWhile 	lapwhile
Mat 	mat
List 	lst
String 	str
Dim 	dim
